user_id,song_id,rating
999999,4999999,3
999459,4992969,4
239999,4657999,2
15730,1626,1
15693,490,5
8418,93,2
15734,2514,1
15693,2315,2
15693,2571,3
15734,130,4
15693,5376,4
15734,9357,4
15693,1269,4
2352,363,1
3253,323,3
14079,2878,2
14882,368,5
14079,3741,1
993459,4962969,4
232399,4617999,2
14882,480,1
15734,119,4
15734,321,1
15734,608,3
15734,102,3
15734,1373,2
15734,120,5
15734,1718,4
15734,2054,5
15734,2270,5
14882,793,1
15734,2546,4
11167,106,4
15734,1417,5
15734,2589,4
15734,3656,1
15734,64,3
7687,4341,5
15734,1311,3
3562,771,2
7687,104,1
7687,1458,1
15358,1,2
11167,3456,1
13333,236,3
11167,208,2
11167,233,3
11167,968,5
15358,860,1
11167,3946,5
15358,1752,3
11167,5419,3
11167,2831,1
15358,465,1
15358,1107,4
2768,1243,3
15358,1748,4
15358,2589,2
15358,4431,5
2768,1399,5
2768,2164,1
2768,1504,2
2768,2780,2
2768,4000,3
2768,3154,5
2768,2719,3
2768,1175,5
2768,1452,2
8564,22,2
15735,194,4
15735,33,1
15735,26,5
15735,72,3
15735,209,1
15735,84,4
8564,2510,3
15735,222,2
15735,288,5
15735,15,2
7340,1149,1
15735,2,1
15735,7,3
15735,19,3
15735,62,2
15735,53,2
15735,3,5
15735,10,2
15735,43,5
15735,76,5
15735,89,1
15735,137,3
15735,13,5
15735,55,2
15735,54,4
15735,126,1
15735,75,2
15735,78,3
15523,5304,3
15735,5414,5
15735,7888,2
15735,1086,5
15735,2090,1
15735,1553,1
15735,2224,1
15735,2303,5
15735,2341,5
15735,2550,4
15735,2549,3
15735,2605,2
15735,2911,5
15735,3510,2
15735,3166,4
15735,3608,2
15735,3832,5
15735,3990,4
15735,3874,4
15735,5092,2
15735,5295,1
15735,1840,3
15735,2317,1
15735,3215,1
15735,2545,3
15735,3454,2
15735,3382,5
15735,4105,4
15735,4556,4
15735,4781,2
15735,5218,2
15735,5760,3
15735,5659,5
15735,4030,4
15735,6864,4
15735,7576,4
15735,7112,4
15735,6731,4
15735,8050,4
15735,7583,2
15735,7854,2
15523,90,5
15523,263,4
15735,3265,1
15735,6269,3
15735,6689,3
15735,7064,3
15735,7536,3
15735,7718,4
8127,187,4
15735,7533,1
15735,9289,1
15735,8076,3
6887,4083,4
6887,5862,5
6887,2706,2
6887,6067,3
6887,7159,2
6887,6313,4
6887,5646,4
15735,6375,3
8127,482,3
15735,168,1
15735,176,2
15735,243,5
15735,232,1
15735,739,4
15735,305,3
15735,237,5
15735,349,5
15735,612,2
15735,488,3
15735,725,3
15735,806,4
15735,553,3
15735,556,3
15735,670,2
15735,675,3
15735,578,3
15735,936,4
15735,953,4
15735,705,2
15735,1053,5
15735,1248,3
15488,41,5
15735,1261,5
15735,915,3
15735,1139,5
15735,609,4
15735,703,1
15735,1075,1
15735,818,1
15735,865,1
15735,967,2
15735,1123,5
15735,944,5
15735,1208,5
15735,1498,3
15735,911,2
15735,1900,1
15735,1589,1
15735,1423,2
15735,1987,1
4910,139,3
15735,2041,3
15735,1339,5
15735,1795,4
1934,5133,1
2323,4080,2
6887,5375,4
15693,972,4
15693,786,1
15488,20,1
15693,1348,3
15693,3363,1
15693,2400,2
15693,1178,3
15693,3033,4
15357,2661,5
15693,4328,2
15357,1060,5
15693,8664,5
15523,25,3
15693,1265,2
15693,1489,4
834,605,3
15693,4645,1
14158,11,5
15729,3046,1
15729,4822,3
15693,3047,4
15729,130,5
15693,3274,5
15729,233,1
14158,67,1
15729,317,5
15729,83,1
15729,6787,1
15729,54,3
15729,121,4
15729,597,4
15729,177,3
15729,4,1
15729,335,1
15729,545,4
15729,63,3
15729,913,2
15729,119,2
15693,4196,2
15729,94,1
15729,43,4
15729,42,1
15729,19,1
15729,115,3
15729,65,2
15729,28,3
15729,7,2
15729,50,1
15729,5,2
15729,8,4
1207,1403,5
15729,1679,5
15693,2874,2
15729,14,3
15729,550,2
15729,48,1
15729,1797,1
15729,1574,2
15729,2897,5
15729,360,1
15693,5886,1
15693,7624,4
11025,2680,3
11025,41,1
15693,9631,4
15693,6210,1
15693,3252,5
15715,157,4
15715,1166,4
15715,1376,3
15715,392,3
15715,1194,5
15719,1573,3
15693,2556,4
6153,563,5
15715,1937,3
15715,5229,2
15715,3795,5
15693,3234,5
15693,4611,3
15693,9073,1
14645,260,3
15693,1207,1
3333,584,2
15693,6023,5
15715,124,4
15488,151,3
15488,183,3
15488,224,3
15488,223,1
15488,182,2
15488,645,1
15488,1718,5
15488,245,5
12053,2294,3
12053,119,3
15488,2711,4
15488,340,3
15488,2054,2
15488,2270,2
15488,569,2
15488,332,3
15488,219,4
15488,59,1
15488,447,3
15488,1210,2
15488,542,2
14730,31,2
4965,299,3
15735,1448,1
15735,4276,5
15735,3750,4
15735,6686,2
15735,5337,1
15735,3688,1
15735,4700,2
15735,5920,3
15735,4627,2
8751,3263,5
12909,327,1
8264,3180,2
2157,1682,3
9573,1839,4
11700,1276,1
1,258,5
2,4081,4
2,260,4
2,9296,3
2,2318,2
2,26,3
2,315,3
2,33,2
2,301,1
2,2686,5
2,3753,1
2,8519,5
4,70,4
4,264,4
4,388,3
4,18,2
4,27,5
4,21,1
4,2,4
4,23,1
4,24,1
4,964,5
4,103,4
4,255,2
4,35,2
4,287,5
4,337,3
4,26,3
4,84,1
4,58,4
4,1117,1
4,660,2
4,111,1
4,5,4
4,413,3
4,8,4
4,2172,2
4,65,2
4,297,2
4,45,5
4,113,3
4,325,2
4,476,1
6,6351,2
8,2732,3
8,1432,1
8,479,1
8,3020,3
8,6195,5
8,614,4
8,4622,4
8,9114,1
8,194,4
8,14,2
8,2584,3
8,55,2
8,772,5
8,778,5
8,1937,5
8,493,5
8,362,4
8,1967,3
8,529,3
8,5425,1
4,1237,3
4,145,2
4,36,2
4,102,3
4,222,3
4,200,3
4,13,4
4,640,5
4,693,4
4,575,5
4,55,4
1,268,2
1,5556,2
1,3638,1
1,1796,2
1,867,3
1,47,1
1,2738,5
4,1296,2
4,50,4
4,87,1
4,86,5
4,123,2
4,32,3
4,28,4
4,33,1
4,42,3
4,249,5
4,158,2
4,373,2
4,184,5
4,495,4
4,350,5
4,492,2
4,219,5
4,288,4
4,11,4
4,245,5
4,301,1
4,1057,4
4,596,5
4,782,4
4,426,3
9,397,1
9,658,4
9,101,2
9,344,2
9,372,4
9,943,3
9,1923,3
9,122,2
9,212,1
9,1642,2
9,317,2
9,33,2
9,26,4
9,9,3
9,81,5
9,60,2
9,494,4
9,238,2
9,14,1
9,570,2
9,795,5
9,2193,1
9,11,2
9,3417,3
9,4139,1
9,1055,2
9,181,3
9,5,3
9,119,4
9,4815,1
9,1221,1
9,1301,3
9,1986,2
9,1057,5
9,1037,3
9,963,1
9,596,5
9,1388,1
9,7868,3
9,1407,3
9,227,1
9,213,3
9,587,2
9,664,3
9,476,5
9,325,3
9,407,1
9,1311,4
9,10,3
9,76,3
9,171,3
11,111,4
11,11,1
11,94,5
11,2559,4
11,522,1
11,258,3
11,408,5
11,516,2
11,6944,5
11,426,2
11,495,3
11,574,2
11,8,1
11,26,1
11,33,2
11,3560,2
11,233,1
11,325,1
11,3703,4
11,2079,1
11,1853,3
11,9606,1
11,7277,4
11,115,3
8,177,2
11,47,3
15,8,1
15,2,5
15,5,5
15,101,3
15,4,4
15,24,1
15,11,4
15,27,3
15,18,4
15,21,3
15,65,1
15,13,1
15,33,1
15,26,1
15,2903,5
15,230,5
15,10,3
15,76,3
15,471,3
15,483,4
15,2339,1
15,709,2
15,167,5
15,361,1
15,326,3
15,87,5
15,304,2
15,100,5
15,306,5
15,337,2
15,92,5
15,887,2
15,119,2
15,310,2
15,465,1
15,8440,2
15,71,4
15,1329,1
15,795,4
15,2193,3
15,3002,3
15,241,5
15,4043,2
15,148,4
15,68,5
15,1144,5
15,941,4
15,782,1
15,1993,2
15,1217,2
15,2347,4
15,7260,3
15,9363,3
15,688,3
15,3340,1
15,14,5
15,550,1
15,115,4
15,8842,1
15,344,1
15,171,2
15,36,1
18,572,3
18,3566,1
18,2584,4
18,557,2
18,1102,3
18,344,4
18,3551,1
18,60,4
18,101,3
18,372,1
18,943,2
18,1923,3
18,2615,5
18,4054,4
4,3273,3
4,1037,1
4,100,2
4,48,1
4,95,4
4,1311,5
4,387,2
4,497,1
4,2190,2
4,1733,1
4,1301,2
4,489,5
4,1435,4
4,1380,1
4,221,3
4,401,5
4,131,3
4,3469,5
18,662,3
18,2770,1
18,9287,2
18,13,4
18,119,2
18,1544,3
18,426,1
18,3219,3
18,55,1
18,48,5
18,65,2
18,405,4
18,3068,2
18,3202,4
18,7538,2
18,7254,5
22,264,1
22,284,2
22,350,2
18,8329,2
8,45,3
24,378,2
24,323,1
24,100,1
24,1144,2
24,1752,2
24,860,1
24,2188,1
24,1031,4
24,2304,1
24,7770,4
24,2142,1
24,4149,4
24,233,2
24,948,2
24,1936,4
24,2738,5
24,2586,2
24,1970,1
24,483,1
24,1329,3
24,7409,2
24,9,5
24,326,1
24,26,1
24,33,1
24,289,4
24,662,4
22,7638,2
22,442,4
22,1142,5
22,3425,4
22,176,3
22,349,3
22,232,5
22,1589,3
22,1900,2
22,670,4
22,1498,3
22,739,3
22,488,5
22,865,3
22,1987,3
22,2352,1
22,168,3
22,3314,4
22,48,3
22,2673,3
22,9,5
22,1236,5
22,289,3
22,4810,5
18,130,4
25,14,3
25,8336,3
25,653,2
25,5374,1
25,872,3
25,8949,4
25,977,1
25,4602,2
25,7277,4
25,5730,4
25,483,2
25,4531,3
25,58,5
25,4,3
25,13,5
25,2339,4
25,5940,2
25,65,5
25,2975,3
24,148,1
24,136,3
24,78,5
24,1639,2
24,186,3
24,398,1
24,60,1
24,2320,1
24,658,1
22,450,3
22,2298,5
28,3504,2
28,2615,2
24,741,4
32,238,1
32,550,4
32,2357,1
32,758,3
32,101,4
32,344,4
32,2615,3
32,9624,3
32,245,3
32,150,4
32,26,3
32,9,5
32,66,2
32,2302,1
32,1272,2
32,2621,2
32,2,5
32,398,4
32,848,4
32,3979,4
32,236,3
32,142,3
32,306,1
32,122,3
32,4317,2
32,2192,4
32,42,4
32,114,2
32,132,2
32,22,5
32,5,4
32,8,5
32,6417,2
32,576,3
32,431,3
32,7,3
32,4682,4
32,1217,4
29,27,3
29,21,4
29,2,2
29,24,5
32,606,1
32,85,5
32,158,3
32,373,5
32,416,3
32,50,3
32,32,4
32,1383,4
32,574,1
32,179,2
32,14,2
32,33,1
32,75,4
32,136,5
32,3997,5
32,4095,2
32,1131,2
25,5244,5
34,498,4
32,9934,4
34,371,1
34,1518,2
34,9588,4
34,162,4
34,2674,1
34,2620,2
34,89,4
34,8995,2
34,424,1
34,405,5
34,2177,1
34,611,2
34,2209,5
34,1322,4
34,1312,1
34,10,1
34,391,5
34,442,4
34,408,3
34,958,2
34,5326,3
34,5101,1
34,296,4
34,740,5
34,1657,2
34,121,1
34,70,5
34,232,4
34,9308,1
34,5830,4
34,547,5
34,3203,2
34,400,2
34,3941,4
34,1010,3
40,690,4
40,179,1
40,1184,5
40,5,2
40,3123,2
40,1312,5
40,436,4
40,32,2
40,10,4
40,4,5
40,13,5
40,495,4
40,483,3
40,101,4
40,344,2
40,659,2
40,63,3
40,587,1
40,249,2
22,408,1
22,687,1
22,598,5
22,3278,2
22,3298,3
22,1018,5
22,2669,2
22,1246,5
22,2299,4
22,2382,5
22,6578,4
22,7316,3
22,8512,5
22,8214,3
22,2426,1
22,1380,1
22,633,5
31,743,3
31,1153,4
31,2034,1
31,2923,3
31,3036,4
31,4979,2
31,4031,2
31,3883,5
31,39,3
31,165,5
31,135,3
31,110,4
31,598,5
31,1018,2
31,3278,3
31,3298,5
31,1246,1
31,2669,3
31,2382,4
31,2299,5
31,2,2
31,24,5
31,21,1
31,27,5
31,23,5
31,18,1
31,1299,3
31,4316,5
31,3428,1
31,4455,5
31,70,5
31,360,5
31,496,4
31,2406,5
31,2047,5
31,2965,5
31,806,5
31,1053,1
31,612,1
31,936,1
31,1261,2
31,725,2
31,232,3
31,168,4
31,915,2
31,7522,2
31,289,2
31,2873,1
31,13,1
31,14,3
31,28,4
31,499,2
31,2051,5
31,1868,1
31,350,1
31,2015,4
31,32,5
31,287,2
31,994,3
31,1656,1
31,5658,1
31,7667,4
34,937,3
43,8,5
43,101,5
43,709,2
43,426,5
31,75,3
22,45,2
31,33,5
31,2615,1
31,272,1
31,271,4
31,2601,1
31,5100,5
31,5563,3
31,136,1
31,101,1
31,55,4
31,372,5
32,2015,2
24,8,5
24,2,5
24,23,5
24,24,1
24,21,3
49,867,4
49,1843,2
18,3237,2
46,268,5
18,913,3
46,483,2
50,217,5
50,26,5
53,270,2
53,14,2
53,35,2
53,80,1
53,130,2
53,653,5
24,27,1
24,18,1
24,3310,3
24,119,1
24,883,3
55,212,2
55,3141,4
55,1544,2
55,7462,4
24,228,5
55,2051,3
24,11,1
58,26,2
58,58,4
58,18,3
58,14,3
58,2,4
58,653,1
58,5,1
58,13,2
58,24,1
58,21,3
58,27,2
58,10,3
58,11,1
58,65,5
55,264,4
55,397,2
55,653,3
24,1806,3
46,1741,1
55,520,5
46,672,5
46,1410,1
46,2235,3
46,7991,1
46,3229,4
46,5858,4
46,9469,3
46,8215,5
46,7208,3
46,7619,5
46,5041,4
46,6684,3
46,671,2
46,5665,5
46,6512,4
46,5505,4
46,4240,5
46,9116,4
46,9494,4
